BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;EDU;EVP;GP;SP;CVP;FDP;SVP;glp;BDP
4551;Aadorf;2014;Münchwilen;2016;3.4;2.9;8.7;9.6;23.1;13.7;30.6;5.7;2.4
4711;Affeltrangen;2015;Weinfelden;2016;5;2.6;6.9;7.3;5.9;11.7;49.7;5.7;5.2
4641;Altnau;2013;Kreuzlingen;2016;3;2.6;8.6;14;13.9;17.9;29.9;8.1;2
4881;Amlikon-Bissegg;2015;Weinfelden;2016;6.7;3.8;5.3;3.9;8.5;9.7;49.3;5;7.8
4461;Amriswil;2011;Arbon;2016;8.4;4.2;8.8;11.2;10.8;16.3;35;2.9;2.3
4401;Arbon;2011;Arbon;2016;4.1;3.3;8.7;20.3;15.9;16.7;25.9;2.9;2.4
4536;Basadingen-Schlattingen;2012;Frauenfeld;2016;3.8;2;5.8;13.4;8.5;11.8;47.4;2.2;5
4891;Berg;2015;Weinfelden;2016;8.5;8.1;4.9;5.8;15.4;14.6;35.2;5.2;2.3
4801;Berlingen;2012;Frauenfeld;2016;2.7;6.6;6.8;19;6.9;26.9;26.6;3;1.5
4716;Bettwiesen;2014;Münchwilen;2016;0.8;3.7;4.2;7.4;21.9;11.8;38.7;6.4;5.2
4721;Bichelsee-Balterswil;2014;Münchwilen;2016;4.6;1;8.9;4.6;36.2;8.4;30.9;2.9;2.6
4901;Birwinken;2015;Weinfelden;2016;4.2;6.2;8.4;9.8;9.3;11.9;37.9;6.3;6
4471;Bischofszell;2015;Weinfelden;2016;11.6;4.6;5.6;10.7;22.2;12.2;25.7;5.7;1.6
4643;Bottighofen;2013;Kreuzlingen;2016;3.3;4.1;8.6;16.6;10;28;18.9;8.7;1.7
4723;Braunau;2014;Münchwilen;2016;1.4;14.4;6.9;4.9;8.6;6.8;49.6;4.7;2.7
4911;Bürglen;2015;Weinfelden;2016;4.3;4.2;7.4;9.3;13.7;13.5;36.1;6.3;5.2
4921;Bussnang;2015;Weinfelden;2016;5.3;2.6;8.6;6.3;8.5;8.5;47.1;4.9;8.2
4545;Diessenhofen;2012;Frauenfeld;2016;0.9;2.7;5.1;21;14.1;17.1;31.5;3;4.5
4406;Dozwil;2011;Arbon;2016;13.2;7.1;5.5;6.6;7.4;8.1;48.5;2.5;1.1
4411;Egnach;2011;Arbon;2016;5.2;7.2;5.3;9.7;8.1;17.7;39;4.5;3.3
4476;Erlen;2015;Weinfelden;2016;5.7;5.6;6.4;12.5;12.7;15.1;35.6;3.6;2.9
4646;Ermatingen;2013;Kreuzlingen;2016;1.8;2.6;9.6;17.4;9.9;21.6;28.2;6.4;2.6
4806;Eschenz;2012;Frauenfeld;2016;2.1;2.3;4.5;7.2;18.1;20.4;37.2;4.8;3.3
4724;Eschlikon;2014;Münchwilen;2016;6.2;3.2;11.9;8.1;17.9;16.2;28.2;5.8;2.4
4561;Felben-Wellhausen;2012;Frauenfeld;2016;5.2;8;4.9;12.3;7.7;12.9;39.8;5.2;4.1
4726;Fischingen;2014;Münchwilen;2016;3;0.6;11.5;3.1;29.8;10.5;37;2.1;2.5
4566;Frauenfeld;2012;Frauenfeld;2016;3.8;7;7.2;19.4;10.6;19.3;23.5;7;2.1
4571;Gachnang;2012;Frauenfeld;2016;3;6.3;6.9;11.3;12;15.9;32.6;9;2.8
4651;Gottlieben;2013;Kreuzlingen;2016;1.5;7.1;8.3;12;6.8;26.3;24.8;9.4;3.6
4656;Güttingen;2013;Kreuzlingen;2016;4.7;2.5;7;10.6;14.5;9.6;41.5;7;2.6
4486;Hauptwil-Gottshaus;2015;Weinfelden;2016;8;4.8;6.5;6.6;19.4;14.5;33.8;3.5;3
4416;Hefenhofen;2011;Arbon;2016;4.6;7.1;11.6;13.5;8.4;8.9;41.2;1.8;3
4811;Herdern;2012;Frauenfeld;2016;2.7;1.7;4.9;13.6;18.8;13.6;35.9;6.6;2.1
4495;Hohentannen;2015;Weinfelden;2016;15.6;1;6.5;5.1;6.1;9.2;46.9;4.7;4.9
4816;Homburg;2012;Frauenfeld;2016;6;6.1;4.1;6.3;7.4;11.3;51.7;4.2;3
4421;Horn;2011;Arbon;2016;1.4;2.8;4.6;9.7;16.1;26.7;28;5.4;5.3
4590;Hüttlingen;2012;Frauenfeld;2016;4.3;2.8;6.6;15.6;3.6;6;49.1;5.7;6.2
4821;Hüttwilen;2012;Frauenfeld;2016;4.8;3.7;7;11.4;17.9;14.9;33.9;4.7;1.7
4666;Kemmental;2013;Kreuzlingen;2016;4.9;5.3;5.5;10.1;4;10.3;48.9;8;2.9
4426;Kesswil;2011;Arbon;2016;5.7;8.3;13.4;10.1;6.2;13.2;35.5;3.4;4.3
4501;Kradolf-Schönenberg;2015;Weinfelden;2016;8;3.3;7.5;14;9.7;16.6;32.3;5.6;2.9
4671;Kreuzlingen;2013;Kreuzlingen;2016;1.8;7.2;8.9;24.3;11.8;17.3;19.7;6.6;2.4
4681;Langrickenbach;2013;Kreuzlingen;2016;5.4;4.8;5.4;6;8.6;6.7;52.7;8;2.5
4683;Lengwil;2013;Kreuzlingen;2016;5.5;7.1;7.3;12.7;9.1;9.8;39.3;6.4;2.7
4741;Lommis;2014;Münchwilen;2016;4.5;4.5;6.6;3.2;13.8;13.3;45.3;3.1;5.7
4826;Mammern;2012;Frauenfeld;2016;0.4;0.4;5.9;3.5;12.9;40.3;29.5;5.8;1.2
4941;Märstetten;2015;Weinfelden;2016;2.3;4.9;6;12.5;9.3;15.7;37.2;6.3;5.8
4591;Matzingen;2012;Frauenfeld;2016;2.3;4;5.2;20.5;9.3;10.3;41.2;4.1;3.1
4831;Müllheim;2012;Frauenfeld;2016;4.5;3.3;4.9;7.1;17;15;39;3.3;5.9
4746;Münchwilen;2014;Münchwilen;2016;2.4;3.6;9.4;7.4;19.3;16.2;32.6;4.3;4.9
4691;Münsterlingen;2013;Kreuzlingen;2016;2.5;2.3;11.8;19.5;8.3;21.9;26.3;5.8;1.6
4601;Neunforn;2012;Frauenfeld;2016;2.3;4.4;4.3;11.3;5.2;12.2;48.5;6.2;5.6
4841;Pfyn;2012;Frauenfeld;2016;6.3;4.2;12;7;6.4;8.7;48.2;5;2.2
4846;Raperswilen;2013;Kreuzlingen;2016;3.2;3.8;4.4;2.9;4.2;2.9;71.8;4;2.6
4751;Rickenbach b. Wil;2014;Münchwilen;2016;2.1;1.5;5.3;8.4;18.9;22.3;36.1;2.6;2.8
4431;Roggwil;2011;Arbon;2016;6.4;3.2;7.4;16.4;7.3;18.2;32.2;7.4;1.5
4436;Romanshorn;2011;Arbon;2016;5.8;6.4;7.8;15.9;14.9;15.6;26;3.5;4.2
