BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;01_ja;02_FDP;03_SVP;04_ALGP;05_EVP;06_SP;07_CVP;08_EDU;09_GP;10_glp
4551;Aadorf;2004;Frauenfeld;2008;;5495;12726;;1936;4575;6680;1080;2610;1663
4711;Affeltrangen;2006;Münchwilen;2008;;1026;5347;;336;666;1478;490;1019;485
4641;Altnau;2005;Kreuzlingen;2008;;1501;2073;21;170;1031;958;174;1151;
4881;Amlikon-Bissegg;2008;Weinfelden;2008;66;410;2731;24;258;186;502;236;296;
4461;Amriswil;2002;Bischofszell;2008;;6523;11336;;1463;3900;4102;1683;2998;656
4401;Arbon;2001;Arbon;2008;;6063;12995;;1886;11503;7017;1669;3089;
4536;Basadingen-Schlattingen;2003;Diessenhofen;2008;;291;914;;49;381;241;;;
4891;Berg;2008;Weinfelden;2008;147;1399;3734;89;848;497;2594;844;768;
4801;Berlingen;2007;Steckborn;2008;;707;762;;211;365;233;34;264;
4716;Bettwiesen;2006;Münchwilen;2008;;415;1532;;125;228;1013;30;273;167
4721;Bichelsee-Balterswil;2006;Münchwilen;2008;;1676;3028;;182;479;6450;231;1459;437
4901;Birwinken;2008;Weinfelden;2008;99;162;2064;57;184;345;583;278;407;
4471;Bischofszell;2002;Bischofszell;2008;;2542;5471;;783;1980;4438;2068;974;483
4643;Bottighofen;2005;Kreuzlingen;2008;;2459;1991;8;356;960;1160;248;940;
4723;Braunau;2006;Münchwilen;2008;;228;2098;;254;137;434;65;251;81
4911;Bürglen;2008;Weinfelden;2008;247;1010;2627;80;345;676;2406;368;459;
4921;Bussnang;2008;Weinfelden;2008;220;780;4110;34;187;469;992;345;711;
4545;Diessenhofen;2003;Diessenhofen;2008;;635;1017;;63;707;432;;;
4406;Dozwil;2001;Arbon;2008;;187;1715;;160;174;139;624;335;
4411;Egnach;2001;Arbon;2008;;2935;8110;;1811;2774;3153;956;2137;
4476;Erlen;2002;Bischofszell;2008;;1619;4817;;549;898;1324;589;639;411
4646;Ermatingen;2005;Kreuzlingen;2008;;2799;4314;34;420;1338;1293;196;1169;
4806;Eschenz;2007;Steckborn;2008;;617;1546;;60;313;1184;48;410;
4724;Eschlikon;2006;Münchwilen;2008;;2962;6247;;887;1857;2949;718;2117;1668
4561;Felben-Wellhausen;2004;Frauenfeld;2008;;816;4044;;1071;1545;1045;461;630;420
4726;Fischingen;2006;Münchwilen;2008;;1449;5335;;150;1031;4330;323;1871;290
4566;Frauenfeld;2004;Frauenfeld;2008;;17875;34314;;9172;22853;15235;4321;10033;6441
4571;Gachnang;2004;Frauenfeld;2008;;1375;6516;;1867;1788;2110;772;1812;743
4651;Gottlieben;2005;Kreuzlingen;2008;;331;402;0;62;150;150;0;165;
4656;Güttingen;2005;Kreuzlingen;2008;;764;2999;5;165;639;865;336;707;
4486;Hauptwil-Gottshaus;2002;Bischofszell;2008;;707;2386;;304;401;1342;622;206;178
4416;Hefenhofen;2001;Arbon;2008;;580;1754;;333;624;375;308;858;
4811;Herdern;2007;Steckborn;2008;;310;958;;62;490;694;28;211;
4495;Hohentannen;2002;Bischofszell;2008;;279;1691;;28;162;253;158;174;97
4816;Homburg;2007;Steckborn;2008;;427;2402;;153;207;611;103;281;
4421;Horn;2001;Arbon;2008;;1740;3481;;307;1237;2357;194;712;
4590;Hüttlingen;2004;Frauenfeld;2008;;309;3232;;274;867;376;196;613;346
4821;Hüttwilen;2007;Steckborn;2008;;744;1709;;62;518;758;106;409;
4666;Kemmental;2005;Kreuzlingen;2008;;1192;4097;110;629;636;537;173;777;
4426;Kesswil;2001;Arbon;2008;;812;1828;;316;482;671;448;856;
4501;Kradolf-Schönenberg;2002;Bischofszell;2008;;2185;4203;;252;1609;1279;689;870;450
4671;Kreuzlingen;2005;Kreuzlingen;2008;;6028;12395;212;2670;8912;7272;884;4808;
4681;Langrickenbach;2005;Kreuzlingen;2008;;395;2658;31;165;389;388;302;552;
4683;Lengwil;2005;Kreuzlingen;2008;;517;2175;10;198;568;508;254;424;
4741;Lommis;2006;Münchwilen;2008;;472;2246;;131;300;884;168;280;226
4826;Mammern;2007;Steckborn;2008;;535;536;;20;57;308;7;96;
4941;Märstetten;2008;Weinfelden;2008;201;1783;3455;16;689;880;1085;143;850;
4591;Matzingen;2004;Frauenfeld;2008;;712;4412;;364;2426;1185;403;935;472
4831;Müllheim;2007;Steckborn;2008;;643;1762;;186;337;1110;97;621;
4746;Münchwilen;2006;Münchwilen;2008;;2598;5867;;518;1008;3112;419;2033;776
4691;Münsterlingen;2005;Kreuzlingen;2008;;1348;2420;64;314;1040;821;440;2195;
4601;Neunforn;2004;Frauenfeld;2008;;580;3538;;291;519;352;171;532;895
4841;Pfyn;2007;Steckborn;2008;;380;2277;;132;575;422;128;427;
4846;Raperswilen;2007;Steckborn;2008;;77;815;;11;21;69;7;13;
4751;Rickenbach;2006;Münchwilen;2008;;2493;2589;;200;429;1301;129;403;213
4431;Roggwil;2001;Arbon;2008;;1248;5152;;542;2178;1609;582;1158;
4436;Romanshorn;2001;Arbon;2008;;5618;10545;;1992;6711;6473;1691;4609;
4851;Salenstein;2007;Steckborn;2008;;497;1287;;68;383;366;4;249;
4441;Salmsach;2001;Arbon;2008;;182;1408;;362;789;557;306;752;
4546;Schlatt;2003;Diessenhofen;2008;;393;828;;129;216;66;;;
4756;Schönholzerswilen;2006;Münchwilen;2008;;232;2614;;195;252;982;74;382;120
4761;Sirnach;2006;Münchwilen;2008;;2718;9540;;1052;2950;5961;986;2278;752
4446;Sommeri;2001;Arbon;2008;;144;1605;;35;219;368;256;579;
4864;Steckborn;2007;Steckborn;2008;;1386;2798;;189;1428;1287;90;848;
4606;Stettfurt;2004;Frauenfeld;2008;;728;2299;;152;402;1115;184;480;389
4506;Sulgen;2002;Bischofszell;2008;;2189;4466;;242;1567;1818;732;1152;514
4696;Tägerwilen;2005;Kreuzlingen;2008;;1558;3292;74;1062;1315;1707;270;1499;
4611;Thundorf;2004;Frauenfeld;2008;;575;3464;;494;1080;706;273;570;602
4776;Tobel-Tägerschen;2006;Münchwilen;2008;;408;3235;;330;209;2043;219;238;272
4616;Uesslingen-Buch;2004;Frauenfeld;2008;;496;4058;;492;509;1193;100;426;359
4451;Uttwil;2001;Arbon;2008;;1198;3088;;142;1061;805;518;897;
4871;Wagenhausen;2007;Steckborn;2008;;493;1757;;143;405;244;143;304;
4701;Wäldi;2005;Kreuzlingen;2008;;356;2534;4;201;165;168;119;634;
4781;Wängi;2006;Münchwilen;2008;;1491;7033;;460;1121;4419;894;1707;940
4621;Warth-Weiningen;2004;Frauenfeld;2008;;785;4082;;489;976;1258;304;892;320
4946;Weinfelden;2008;Weinfelden;2008;1392;6764;10206;101;2789;3931;5234;1205;3041;
4951;Wigoltingen;2008;Weinfelden;2008;148;1230;3003;14;422;531;698;315;779;
4786;Wilen;2006;Münchwilen;2008;;1854;2711;;512;748;1719;333;1013;294
4791;Wuppenau;2006;Münchwilen;2008;;191;3371;;184;387;1228;175;306;323
4511;Zihlschlacht-Sitterdorf;2002;Bischofszell;2008;;927;3045;;185;364;845;1213;263;156
