BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;01_EDU;02_GP;03_SP_Gew;04_JCVP;05_EVP;06_BDP;07_Juso;08_FDP;09_SVP;10_EVP_FN;11_glp;12_CVP
4551;Aadorf;2014;Münchwilen;2012;1205;2655;3181;766;1371;1490;;4029;10857;;1695;6824
4711;Affeltrangen;2015;Weinfelden;2012;608;702;771;98;334;1350;;1089;5589;;805;831
4641;Altnau;2013;Kreuzlingen;2012;283;1238;1038;;97;373;363;2005;2545;;592;679
4881;Amlikon-Bissegg;2015;Weinfelden;2012;933;529;551;34;366;455;;661;3350;;356;826
4461;Amriswil;2011;Arbon;2012;3734;4416;5977;;1913;1840;;8155;15835;;2482;5539
4401;Arbon;2011;Arbon;2012;2239;3177;13677;;2505;1382;;7747;13464;;2527;8410
4536;Basadingen-Schlattingen;2012;Frauenfeld;2012;433;880;2137;;76;958;;2054;4550;216;392;1073
4891;Berg;2015;Weinfelden;2012;1647;549;837;321;1141;944;;2263;5109;;1081;3213
4801;Berlingen;2012;Frauenfeld;2012;191;468;1259;;131;261;;1930;2474;394;353;621
4716;Bettwiesen;2014;Münchwilen;2012;55;134;116;115;110;275;;388;1093;;479;941
4721;Bichelsee-Balterswil;2014;Münchwilen;2012;345;1351;474;248;242;296;;1227;3668;;521;4316
4901;Birwinken;2015;Weinfelden;2012;529;444;696;76;290;689;;566;2798;;442;829
4471;Bischofszell;2015;Weinfelden;2012;3310;957;2731;382;991;798;;2682;5409;;1574;5626
4643;Bottighofen;2013;Kreuzlingen;2012;308;1120;1182;;158;476;215;2371;1531;;705;983
4723;Braunau;2014;Münchwilen;2012;54;134;202;92;303;219;;216;1646;;366;446
4911;Bürglen;2015;Weinfelden;2012;960;988;1536;101;598;1260;;2066;4566;;891;2110
4921;Bussnang;2015;Weinfelden;2012;859;900;1287;276;271;983;;1058;5756;;428;1682
4545;Diessenhofen;2012;Frauenfeld;2012;97;1351;4659;;71;1156;;3494;6998;475;644;2815
4406;Dozwil;2011;Arbon;2012;874;164;240;;220;115;;370;1720;;598;209
4411;Egnach;2011;Arbon;2012;926;1805;2947;;1915;1168;;3532;9424;;1733;2437
4476;Erlen;2015;Weinfelden;2012;634;714;1587;138;689;870;;1585;4510;;507;1693
4646;Ermatingen;2013;Kreuzlingen;2012;154;1050;1801;;441;649;69;2928;3515;;775;1229
4806;Eschenz;2012;Frauenfeld;2012;212;617;987;;85;428;;1179;3821;145;525;2995
4724;Eschlikon;2014;Münchwilen;2012;935;1767;1435;275;660;499;;3182;4666;;1934;3015
4561;Felben-Wellhausen;2012;Frauenfeld;2012;815;825;1816;;1068;666;;1334;4971;77;867;1434
4726;Fischingen;2014;Münchwilen;2012;371;1425;904;777;104;422;;1078;5474;;506;3365
4566;Frauenfeld;2012;Frauenfeld;2012;6729;14021;29282;;10627;6425;;26541;38542;1204;11718;19350
4571;Gachnang;2012;Frauenfeld;2012;654;1697;2487;;1671;1009;;2428;5789;109;2001;1813
4651;Gottlieben;2013;Kreuzlingen;2012;2;188;218;;149;78;4;309;518;;128;56
4656;Güttingen;2013;Kreuzlingen;2012;364;542;769;;147;428;86;878;2540;;473;671
4486;Hauptwil-Gottshaus;2015;Weinfelden;2012;809;188;847;86;345;243;;1563;2558;;224;1713
4416;Hefenhofen;2011;Arbon;2012;459;965;695;;466;225;;542;1914;;504;421
4811;Herdern;2012;Frauenfeld;2012;254;379;1656;;153;336;;622;2852;144;457;1721
4495;Hohentannen;2015;Weinfelden;2012;326;114;260;39;74;205;;224;1443;;124;280
4816;Homburg;2012;Frauenfeld;2012;554;697;733;;169;488;;614;5750;196;367;1168
4421;Horn;2011;Arbon;2012;150;569;1677;;230;562;;2510;3066;;805;2114
4590;Hüttlingen;2012;Frauenfeld;2012;441;612;936;;247;845;;240;3072;70;648;343
4821;Hüttwilen;2012;Frauenfeld;2012;421;1562;1751;;240;542;;1850;5712;209;741;2525
4666;Kemmental;2013;Kreuzlingen;2012;333;628;904;;593;569;74;906;3626;;567;506
4426;Kesswil;2011;Arbon;2012;449;788;805;;363;336;;1394;2003;;782;478
4501;Kradolf-Schönenberg;2015;Weinfelden;2012;776;902;2194;58;565;944;;3008;5513;;635;1513
4671;Kreuzlingen;2013;Kreuzlingen;2012;828;5171;10406;;2532;2558;1468;8440;10755;;2644;6383
4681;Langrickenbach;2013;Kreuzlingen;2012;476;443;430;;195;329;46;220;2826;;418;316
4683;Lengwil;2013;Kreuzlingen;2012;297;534;572;;231;172;53;539;2202;;425;658
4741;Lommis;2014;Münchwilen;2012;151;338;139;20;293;553;;419;2125;;313;853
4826;Mammern;2012;Frauenfeld;2012;26;220;222;;7;119;;1467;1429;104;439;752
4941;Märstetten;2015;Weinfelden;2012;368;1097;2116;200;851;919;;2910;4962;;1160;1534
4591;Matzingen;2012;Frauenfeld;2012;482;704;3295;;448;601;;894;5278;21;1087;1224
4831;Müllheim;2012;Frauenfeld;2012;576;850;1168;;205;887;;1990;4125;84;463;2385
4746;Münchwilen;2014;Münchwilen;2012;361;1721;1244;358;502;784;;2567;5086;;1311;2927
4691;Münsterlingen;2013;Kreuzlingen;2012;539;1630;1292;;313;468;150;1520;2623;;752;927
4601;Neunforn;2012;Frauenfeld;2012;196;506;714;;153;591;;508;4026;97;310;218
4841;Pfyn;2012;Frauenfeld;2012;605;1290;1256;;506;621;;987;5657;153;624;1018
4846;Raperswilen;2013;Kreuzlingen;2012;25;45;133;;50;91;4;114;2143;;421;107
4751;Rickenbach b. Wil;2014;Münchwilen;2012;208;385;468;125;118;177;;2273;2162;;290;1110
4431;Roggwil;2011;Arbon;2012;540;1098;2067;;350;447;;2098;5211;;1417;1230
4436;Romanshorn;2011;Arbon;2012;2849;5175;9755;;2420;1995;;7966;12350;;2717;8803
4851;Salenstein;2013;Kreuzlingen;2012;38;451;912;;184;580;27;954;2155;;357;479
4441;Salmsach;2011;Arbon;2012;472;643;790;;416;269;;484;1404;;402;824
4546;Schlatt;2012;Frauenfeld;2012;459;613;1436;;118;623;;2545;4242;768;145;479
4756;Schönholzerswilen;2015;Weinfelden;2012;80;336;272;26;243;245;;288;2556;;210;749
4761;Sirnach;2014;Münchwilen;2012;1313;1911;3207;265;1069;1404;;2775;7821;;1315;4859
4446;Sommeri;2011;Arbon;2012;216;729;219;;147;120;;216;1355;;62;286
4864;Steckborn;2012;Frauenfeld;2012;467;2276;4336;;313;1456;;3924;6007;483;1435;1482
4606;Stettfurt;2012;Frauenfeld;2012;282;563;922;;332;284;;1088;2401;15;506;1489
4506;Sulgen;2015;Weinfelden;2012;1229;877;2374;149;595;890;;3149;4864;;852;2503
4696;Tägerwilen;2013;Kreuzlingen;2012;352;801;1393;;1014;514;103;2045;2785;;711;1302
4611;Thundorf;2012;Frauenfeld;2012;538;480;1338;;632;654;;730;3709;80;860;674
4776;Tobel-Tägerschen;2014;Münchwilen;2012;26;224;107;251;571;395;;350;1972;;362;1375
4616;Uesslingen-Buch;2012;Frauenfeld;2012;279;441;798;;289;348;;751;4428;189;619;1290
4451;Uttwil;2011;Arbon;2012;499;865;985;;241;599;;2338;3900;;697;779
4871;Wagenhausen;2012;Frauenfeld;2012;281;707;1422;;135;473;;899;4312;719;567;881
4701;Wäldi;2013;Kreuzlingen;2012;314;341;167;;180;276;15;303;2862;;272;151
4781;Wängi;2014;Münchwilen;2012;1262;1842;1289;362;519;1433;;1618;5503;;931;4148
4621;Warth-Weiningen;2012;Frauenfeld;2012;250;731;1172;;441;382;;925;4175;445;529;1541
4946;Weinfelden;2015;Weinfelden;2012;2530;4223;8412;1183;4622;2851;;11817;13555;;3374;8928
4951;Wigoltingen;2015;Weinfelden;2012;675;675;1485;48;538;913;;1235;3722;;549;1067
4786;Wilen;2014;Münchwilen;2012;30;792;571;106;440;301;;1372;1621;;473;1653
4791;Wuppenau;2015;Weinfelden;2012;275;335;461;52;190;306;;307;4104;;236;1011
4511;Zihlschlacht-Sitterdorf;2015;Weinfelden;2012;2247;434;860;69;288;442;;1402;3284;;342;1008
