BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;Wahljahr;01_EDU;02_JCVP;03_EVP;04_GP;"05_SP_
Gew";06_JUSO;07_CVP;08_FDP;09_JEVP;10_SVP;11_glp;12_BDP
4551;Aadorf;2014;Münchwilen;2016;1206;686;1054;3127;3454;;7622;4921;;11018;2048;851
4711;Affeltrangen;2015;Weinfelden;2016;637;;334;879;928;;748;1498;;6334;732;663
4641;Altnau;2013;Kreuzlingen;2016;334;;246;964;1377;199;1568;2015;43;3367;909;226
4881;Amlikon-Bissegg;2015;Weinfelden;2016;528;;300;422;310;;674;765;;3905;396;621
4461;Amriswil;2011;Arbon;2016;4208;;1718;4419;5638;;5440;8177;396;17561;1443;1164
4401;Arbon;2011;Arbon;2016;2316;;1648;4875;11416;;8939;9392;197;14589;1621;1351
4536;Basadingen-Schlattingen;2012;Frauenfeld;2016;424;;111;653;1506;;960;1322;117;5336;253;564
4891;Berg;2015;Weinfelden;2016;1523;;1457;878;1048;;2755;2622;;6303;928;409
4801;Berlingen;2012;Frauenfeld;2016;201;;419;496;1395;;507;1973;63;1953;221;111
4716;Bettwiesen;2014;Münchwilen;2016;28;58;128;146;254;;696;406;;1334;220;178
4721;Bichelsee-Balterswil;2014;Münchwilen;2016;610;972;131;1172;600;;3792;1107;;4069;379;346
4901;Birwinken;2015;Weinfelden;2016;326;;484;659;771;;726;932;;2971;492;474
4471;Bischofszell;2015;Weinfelden;2016;2939;;1162;1426;2712;;5636;3092;;6514;1448;406
4643;Bottighofen;2013;Kreuzlingen;2016;338;;375;884;1547;157;1021;2869;47;1935;891;178
4723;Braunau;2014;Münchwilen;2016;54;17;559;268;191;;318;265;;1929;183;104
4911;Bürglen;2015;Weinfelden;2016;659;;640;1126;1420;;2084;2063;;5511;963;798
4921;Bussnang;2015;Weinfelden;2016;752;;366;1213;892;;1196;1205;;6653;698;1164
4545;Diessenhofen;2012;Frauenfeld;2016;173;;405;936;3853;;2586;3132;84;5764;552;832
4406;Dozwil;2011;Arbon;2016;674;;317;278;337;;376;414;44;2472;128;57
4411;Egnach;2011;Arbon;2016;1558;;2015;1586;2895;;2426;5303;145;11666;1332;999
4476;Erlen;2015;Weinfelden;2016;786;;767;884;1733;;1753;2086;;4921;492;396
4646;Ermatingen;2013;Kreuzlingen;2016;267;;342;1442;2295;329;1488;3259;44;4251;965;393
4806;Eschenz;2012;Frauenfeld;2016;226;;225;484;777;;1939;2192;25;3993;517;358
4724;Eschlikon;2014;Münchwilen;2016;1258;353;647;2408;1624;;3251;3274;;5694;1177;475
4561;Felben-Wellhausen;2012;Frauenfeld;2016;656;;959;616;1556;;982;1634;55;5048;663;519
4726;Fischingen;2014;Münchwilen;2016;426;1229;80;1649;443;;3034;1503;;5300;300;353
4566;Frauenfeld;2012;Frauenfeld;2016;6162;;10047;11621;31389;;17234;31281;1315;38109;11335;3372
4571;Gachnang;2012;Frauenfeld;2016;658;;934;1495;2442;;2597;3442;433;7035;1950;610
4651;Gottlieben;2013;Kreuzlingen;2016;27;;106;151;204;14;123;476;23;450;171;66
4656;Güttingen;2013;Kreuzlingen;2016;388;;181;577;810;61;1193;787;22;3411;575;212
4486;Hauptwil-Gottshaus;2015;Weinfelden;2016;638;;382;519;525;;1543;1152;;2691;279;236
